#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
der Feierabend, -e;der Feierabend;closing time, finish work;кінець робочого дня;Nach dem Feierabend programmiere ich oft an meinen privaten Projekten weiter.
aufregend;aufregend;exciting;захоплюючий;Die Arbeit mit der neuen KI-Technologie ist extrem aufregend.
der Erfolg, -e;der Erfolg;success;успіх;Die Migration zur Cloud war ein großer Erfolg für das ganze Team.
nützlich;nützlich;useful;корисний;Diese neue Bibliothek ist sehr nützlich für die Bildverarbeitung.
der Berufsverkehr (Sg.);der Berufsverkehr;professional traffic;робочий дорожній рух (години пік);Dank Homeoffice vermeide ich den stressigen Berufsverkehr am Morgen.
üblich;üblich;common;звичайний;In der IT-Branche ist das Duzen unter Kollegen absolut üblich.
lächeln (lächelt, lächelte, hat gelächelt);lächeln;to smile;усміхатися;Der Support-Mitarbeiter lächelt, als er das Problem endlich gelöst hat.
erwünscht;erwünscht;desired;бажаний;Erfahrung mit agilen Methoden wie Scrum ist bei uns ausdrücklich erwünscht.
beliebt;beliebt;popular;популярний;Python ist derzeit eine der beliebtesten Sprachen für Data Science.
im Allgemeinen;im Allgemeinen;in general;взагалі;Im Allgemeinen sind unsere Kunden mit der Performance der Software zufrieden.
der/die Vorgesetzte, -n;der;supervisor;керівник/-ця;Mein Vorgesetzter hat mir wertvolles Feedback zu meinem Code gegeben.
sich verabschieden (von + Dat.) (verabschiedet sich, verabschiedete sich, hat sich verabschiedet);sich verabschieden;to say goodbye;прощатися;Ich verabschiede mich aus dem Slack-Channel, da ich das Projekt wechsle.
sich etw. an|schauen (schaut an, schaute an, hat angeschaut);sich etw. an|schauen;to look at something;подивитися на щось;Ich schaue mir die neue Dokumentation für das Framework an.
der Arbeitsalltag (Sg.);der Arbeitsalltag;everyday work life;робочі будні;Der Arbeitsalltag eines DevOps-Engineers wird stark von Automatisierung geprägt.
die Arbeitsdichte (Sg.);die Arbeitsdichte;work density;щільність роботи (навантаження);Die Arbeitsdichte ist während der Crunch-Phase vor dem Produkt-Launch extrem hoch.
das Arbeitsleben (Sg.);das Arbeitsleben;professional life;трудове життя;Das Arbeitsleben in einem Tech-Startup unterscheidet sich stark von dem in einem Großkonzern.
die Arbeitswelt (Sg.);die Arbeitswelt;working world;світ праці;Die moderne Arbeitswelt erfordert ständige Anpassung an neue Software-Tools.
sich aus|wirken (auf + Akk.) (wirkt aus, wirkte aus, hat ausgewirkt);sich aus|wirken;to affect, to impact;впливати;Ein fehlerhaftes Update kann sich negativ auf die Systemstabilität auswirken.
die Baustelle, -n;die Baustelle;construction site;будівельний майданчик;Die Migration der Legacy-Daten ist derzeit unsere größte Baustelle im Projekt.
sich beeilen (beeilt sich, beeilte sich, hat sich beeilt);sich beeilen;to hurry;поспішати;Wir müssen uns beeilen, den Hotfix vor dem nächsten Kunden-Meeting zu mergen.
die Berufssparte, -n;die Berufssparte;professional sector;професійна галузь;Die IT-Sicherheit ist eine Berufssparte mit hervorragenden Zukunftsaussichten.
der/die Beschäftigte, -n;der;employee;співробітник/-ця;Jeder Beschäftigte in der IT-Abteilung hat Zugriff auf das interne Wiki.
die Beschleunigung, -en;die Beschleunigung;acceleration;прискорення;Gute Indizes führen zur Beschleunigung komplexer SQL-Abfragen.
etw. bewältigen (bewältigt, bewältigte, hat bewältigt);bewältigen;to manage, to cope with;долати, справлятися;Dank agiler Methoden konnten wir die hohen Anforderungen des Kunden bewältigen.
die Herausforderung, -en;die Herausforderung;challenge;виклик;Die Skalierung der Datenbank für Millionen von Nutzern ist eine technische Herausforderung.
der Maurer, - / die Maurerin, -nen;der Maurer;mason;муляр/-ка;Wir entwickeln eine App, die Maurern bei der Materialberechnung hilft.
die Strecke, -n;die Strecke;distance, route;дистанція, шлях;Die Strecke für die Glasfaserverbindung zum neuen Rechenzentrum wurde bereits vermessen.
auf der Strecke bleiben;auf der Strecke bleiben;to fall by the wayside;відстати, бути занедбаним;Ohne kontinuierliche Updates der Skills kann man in der IT schnell auf der Strecke bleiben.
einen Termin ab|sagen;einen Termin ab|sagen;to cancel an appointment;скасувати зустріч;Ich muss den Termin für das Code-Review leider auf morgen verschieben.
das Treffen, -;das Treffen;meeting;зустріч;Das Treffen mit den Stakeholdern war für die Priorisierung des Backlogs sehr wichtig.
sich verspäten (verspätet sich, verspätete sich, hat sich verspätet);sich verspäten;to be late;запізнюватися;Das Deployment der neuen Version wird sich aufgrund technischer Probleme leider verspäten.
das Wohlbefinden (Sg.);das Wohlbefinden;well-being;самопочуття;Ergonomische Stühle im Büro tragen wesentlich zum Wohlbefinden der Programmierer bei.
der Zeitdruck (Sg.);der Zeitdruck;time pressure;дефіцит часу;Unter großem Zeitdruck passieren beim Programmieren leider oft Flüchtigkeitsfehler.
die Abteilungskonferenz, -en;die Abteilungskonferenz;department conference;конференція відділу;In der monatlichen Abteilungskonferenz stellt der CTO die neue Technik-Roadmap vor.
sich ab|sprechen (mit + Dat.) (spricht sich ab, sprach sich ab, hat sich abgesprochen);sich ab|sprechen;to coordinate (with someone);домовлятися;Ich muss mich kurz mit dem Backend-Team bezüglich der API-Schnittstelle absprechen.
der Anspruch, "-e;der Anspruch;claim, demand;претензія, вимога;Der Anspruch an die Datensicherheit ist bei dieser Anwendung extrem hoch.
Anspruch haben auf (+ Akk.);Anspruch haben auf;to have a right to;мати право на;Alle Mitarbeiter haben Anspruch auf eine moderne Hardware-Ausstattung mitsamt zwei Monitoren.
der Arbeitsweg, -e;der Arbeitsweg;commute;шлях на роботу;Mein Arbeitsweg dauert eine halbe Stunde.
die Arbeitszeit, -en;die Arbeitszeit;working time;робочий час;In unserer IT-Firma gibt es flexible Arbeitszeit-Modelle und Vertrauensarbeitszeit.
das Arbeitszeitgesetz, -e;das Arbeitszeitgesetz;working time act;закон про робочий час;Das Arbeitszeitgesetz schreibt zwingend eine Pause nach sechs Stunden Arbeit vor.
die Betriebsruhe (Sg.);die Betriebsruhe;company holidays;канікули auf підприємстві;Während der Betriebsruhe werden wichtige Wartungsarbeiten am zentralen Server-Cluster durchgeführt.
das EDV-System, -e;das EDV-System;IT system;ІТ-система;Unser EDV-System wurde auf die neueste Version von SAP umgestellt.
jdn. ein|weisen in (+ Akk.) (weist ein, wies ein, hat eingewiesen);ein|weisen in;to instruct, to brief;інструктувати;Der Senior-Admin wird dich heute in das Monitoring-System einweisen.
der Ersatzruhetag, -e;der Ersatzruhetag;compensatory rest day;компенсаційний вихідний;Wenn wir am Releasetag am Sonntag arbeiten, erhalten wir einen Ersatzruhetag in der Woche.
etw. vor|schreiben (schreibt vor, schrieb vor, hat vorgeschrieben);vor|schreiben;to prescribe, to mandate;приписувати, зобов'язувати;Die DSGVO schreibt vor, wie personenbezogene Daten in unserer SQL-Datenbank gespeichert werden müssen.
der Fall, "-e;der Fall;case;випадок;Im Falle eines Systemabsturzes ist sofort das On-Call-Team zu benachrichtigen.
auf keinen Fall;auf keinen Fall;in no case;ні в якому разі;Man sollte auf keinen Fall ungetesteten Code direkt in den Main-Branch mergen.
der Freizeitausgleich (Sg.);der Freizeitausgleich;compensatory time off;компенсація вільного часу;Für die Überstunden während der Migration bekomme ich nächste Woche Freizeitausgleich.
der Mindesturlaub (Sg.);der Mindesturlaub;minimum leave;мінімальна відпустка;Der gesetzliche Mindesturlaub beträgt in Deutschland 20 Tage bei einer Fünf-Tage-Woche.
die Pflicht, -en;die Pflicht;duty;обов'язок;Es ist die Pflicht jedes Entwicklers, regelmäßig Backups seiner lokalen Repositorys zu machen.
das Recht, -e;das Recht;right, law;право;Der Administrator hat das Recht, Benutzerkonten bei Sicherheitsverstößen zu sperren.
Recht haben;Recht haben;to be right;мати рацію;Du hast Recht, wir sollten für das neue Projekt lieber Python anstatt Java verwenden.
die (gesetzliche) Regel, -n;die Regel;legal rule;законне правило;Wir müssen die gesetzlichen Regeln zum Datenschutz strikt befolgen.
die Schichtarbeit (Sg.);die Schichtarbeit;shift work;позмінна робота;Im 24/7-Support ist Schichtarbeit leider unvermeidlich.
die Teilzeitarbeit (Sg.);die Teilzeitarbeit;part-time work;неповна зайнятість;Teilzeitarbeit ist auch für erfahrene Softwarearchitekten eine gute Option.
die Überstunde, -n;die Überstunde;overtime;понаднормова година;Wegen des kritischen Bugs mussten wir gestern drei Überstunden machen.
der Urlaubstag, -e;der Urlaubstag;vacation day;день відпустки;Ich habe für die Gamescom-Messe extra zwei Urlaubstage genommen.
die Urlaubszeit, -en;die Urlaubszeit;vacation time;час відпустки;In der Urlaubszeit ist die Besetzung im Support-Team oft etwas dünner.
die Vollzeitarbeit (Sg.);die Vollzeitarbeit;full-time work;повна зайнятість;Nach dem Studium fange ich direkt eine Vollzeitarbeit als Frontend-Entwickler an.
die Wochenendarbeit, -en;die Wochenendarbeit;weekend work;робота у вихідні;Große Datenbank-Upgrades werden oft als Wochenendarbeit durchgeführt, um den Betrieb nicht zu stören.
die Deadline, -s;die Deadline;deadline;дедлайн;Wir müssen hart arbeiten, um die Deadline für den nächsten Sprint einzuhalten.
das Drehbuch, "-er;das Drehbuch;script;сценарій;Das Drehbuch für das neue Erklärvideo zur Software-Installation ist fertig.
der Entwurf, "-e;der Entwurf;draft;чернетка, проект;Der erste Entwurf des Datenbank-Schemas muss noch vom Senior-Developer geprüft werden.
die Kampagne, -n;die Kampagne;campaign;кампанія;Unsere Marketing-Abteilung plant eine große Kampagne für das neue SaaS-Produkt.
die Kosmetikserie, -n;die Kosmetikserie;cosmetics line;серія косметики;Wir entwickeln einen intelligenten Onlineshop für eine neue Kosmetikserie.
das Printmedium, -medien;das Printmedium;print medium;друковане видання;In diesem Printmedium wurde ein Artikel über unsere innovative App veröffentlicht.
relevant;relevant;relevant;важливий, релевантний;Diese Bibliotheken sind für unser aktuelles Projekt nicht relevant.
der Senior Manager, - / die Senior Managerin, -nen;der Senior Manager;senior manager;старший менеджер/-ка;Der Senior Manager für Cloud-Operations hat das neue Sicherheitskonzept genehmigt.
der Werbefilm, -e;der Werbefilm;commercial;рекламний ролик;Der Werbefilm für unsere mobile Anwendung wird auf YouTube geschaltet.
die Werbekampagne, -n;die Werbekampagne;advertising campaign;рекламна кампанія;Unsere neue Werbekampagne konzentriert sich auf die Vorteile von Open-Source-Software.
die Abmahnung, -en;die Abmahnung;written warning;попередження (догана);Eine Abmahnung wegen Verletzung der IT-Sicherheitsrichtlinien ist sehr ernst zu nehmen.
das Arbeitsgericht, -e;das Arbeitsgericht;labor court;трудовий суд;Der Streit um die Überstundenvergütung wird nun vor dem Arbeitsgericht geklärt.
der Betriebsrat, "-e;der Betriebsrat;works council;виробнича рада (профспілка);Der Betriebsrat hat der Einführung der neuen Remote-Monitoring-Software zugestimmt.
die Betriebsfeier, -n;die Betriebsfeier;company party;корпоратив;Auf der Betriebsfeier haben wir den erfolgreichen Release unserer Plattform gefeiert.
dokumentieren (dokumentiert, dokumentierte, hat dokumentiert);dokumentieren;to document;документувати;Gute Entwickler dokumentieren ihren Code immer sorgfältig in Javadoc oder Swagger.
der Heizungstechniker, - / die Heizungstechnikerin, -nen;der Heizungstechniker;heating technician;майстер/-иня з опалення;Heizungstechniker wartet auch die Klimaanlage in unserem Serverraum.
die Hilfe, -n;die Hilfe;help;допомога;Ich benötige Hilfe beim Konfigurieren des lokalen Kubernetes-Clusters.
um Hilfe bitten;um Hilfe bitten;to ask for help;просити про допомогу;Bei komplexen Architekturfragen sollte man immer das Core-Team um Hilfe bitten.
das Zuspätkommen (Sg.);das Zuspätkommen;being late;запізнення;Sein häufiges Zuspätkommen zu den Daily Scrums sorgt für Ärger im Team.
das Verständnis (Sg.);das Verständnis;understanding;розуміння;Danke für Ihr Verständnis bezüglich der kurzen Downtime heute Morgen.
verärgert sein über (+ Akk.);verärgert sein über;to be annoyed about;бути роздратованим через;Der Product Owner ist verärgert über die mangelnde Code-Qualität.
abhängig sein von (+ Dat.);abhängig sein von;to be dependent on;бути залежним від;Der Erfolg des Deployments ist von der Stabilität der Datenbank abhängig.
die Beratung, -en;die Beratung;advice, consulting;консультація;Wir bieten eine technische Beratung zur Migration auf eine Microservices-Architektur an.
Geld ausgeben für (+ Akk.) (gibt aus, gab aus, hat ausgegeben);Geld ausgeben für;to spend money on;витрачати гроші на;Unternehmen sollten mehr Geld für moderne IT-Sicherheit ausgeben.
die Lieferzeit, -en;die Lieferzeit;delivery time;час доставки;Die Lieferzeit für die neuen High-End-Grafikkarten beträgt momentan drei Wochen.
die Öffnungszeit, -en;die Öffnungszeit;opening time;години роботи;Der IT-Support hat feste Öffnungszeiten, ist aber für Notfälle rund um die Uhr erreichbar.
der Online-Einkauf, "-e;der Online-Einkauf;online shopping;онлайн-покупки;Wir haben das Backend für einen großen Online-Einkauf-Marktplatz entwickelt.
die Qualität, -en;die Qualität;quality;якість;Die Qualität der Software wird durch kontinuierliche Code-Reviews sichergestellt.
vorsichtig;vorsichtig;careful;обережний;Sei vorsichtig, wenn du Änderungen direkt an der Produktions-Datenbank vornimmst!
die Ware, -n;die Ware;goods, merchandise;товар;Unsere Software verfolgt jede einzelne Ware im Lager in Echtzeit.
der Absatz, "-e;der Absatz;sales, turnover;збут, продажі;Der Absatz unserer neuen Software-Lizenzen ist im letzten Quartal stark gestiegen.
die (technische) Anlage, -n;die Anlage;technical system / equipment;технічна установка;Die gesamte technische Anlage des Rechenzentrums wird zentral überwacht.
eine Anlage warten (wartet, wartete, hat gewartet);eine Anlage warten;to maintain a system;обслуговувати установку;Einmal im Monat muss ein Techniker die Klimaanlage im Serverraum warten.
jdn./etw. beobachten (beobachtet, beobachtete, hat beobachtet);jdn.;to observe;спостерігати;Wir beobachten die Server-Last genau, um Engpässe frühzeitig zu erkennen.
der Einzelhandel (Sg.);der Einzelhandel;retail;роздрібна торгівля;Der Einzelhandel nutzt immer mehr IT-Lösungen für das Bestandsmanagement.
der Endkunde, -n / die Endkundin, -nen;der Endkunde;end customer;кінцевий споживач/-ка;Unsere App wird vom Endkunden direkt im App Store heruntergeladen.
etw. entwickeln (entwickelt, entwickelte, hat entwickelt);entwickeln;to develop;розробляти;Wir entwickeln ein neues Framework for performante Webanwendungen.
die Forschung und Entwicklung (Sg.);die Forschung und Entwicklung;research and development (R&D);дослідження та розробка;Die Abteilung für Forschung und Entwicklung arbeitet an Quantencomputer-Algorithmen.
der Großhandel (Sg.);der Großhandel;wholesale;гуртова торгівля;Unser ERP-System optimiert die Lieferketten für den internationalen Großhandel.
der Handel (Sg.);der Handel;trade, commerce;торгівля;Der elektronische Handel erfordert eine sichere Zahlungsabwicklung.
her|stellen (stellt her, stellte her, hat hergestellt);her|stellen;to produce, to manufacture;виробляти;Die Firma plant, ihre eigenen ARM-basierten Prozessoren herzustellen.
die Herstellung (Sg.);die Herstellung;manufacturing;виробництво;Die Herstellung von Halbleitern erfordert extrem saubere Umgebungen.
etw. liefern (liefert, lieferte, hat geliefert);liefern;to deliver;доставляти;Der Paketbote wird die neuen Laptops heute Nachmittag liefern.
der Lieferschein, -e;der Lieferschein;delivery note;накладна;Bitte scannen Sie den Lieferschein für die neue Hardware direkt ein.
Lieferscheine aus|stellen (stellt aus, stellte aus, hat ausgestellt);Lieferscheine aus|stellen;to issue delivery notes;виписувати накладні;Das System kann automatisch Lieferscheine als PDF-Datei ausstellen.
die Lieferung, -en;die Lieferung;delivery;доставка;Die Lieferung der neuen Server-Racks wurde für morgen bestätigt.
der Markt, "-e;der Markt;market;ринок;Wir müssen den Markt für Cloud-Computing-Dienste genau beobachten.
das Maß, -e;das Maß;measure, dimension;міра, розмір;Wir brauchen die genauen Maße der Switch-Gehäuse für den Einbau im Rack.
die Menge, -n;die Menge;quantity, amount;кількість;Eine riesige Menge an Daten wird täglich durch unsere KI verarbeitet.
etw. montieren (montiert, montierte, hat montiert);montieren;to assemble, to install;монтувати;Wir müssen heute noch die neuen Access-Points im Büro montieren.
die Produktion, -en;die Produktion;production;виробництво;Ein Softwarefehler führte zum kompletten Stillstand der Produktion.
die Rechnung, -en;die Rechnung;invoice, bill;рахунок;Die Rechnung für das Azure-Abonnement wird automatisch per Lastschrift bezahlt.
die Spedition, -en;die Spedition;shipping company;експедиторська компанія;Die Spedition hat die Paletten mit der neuen Hardware am Hafen abgeholt.
der Transport, -e;der Transport;transport;транспорт;Der Transport verschlüsselter Daten muss über eine sichere Verbindung erfolgen.
die Verpackung, -en;die Verpackung;packaging;упаковка;Die Verpackung des neuen Macs ist sehr hochwertig und umweltfreundlich gestaltet.
der Versand (Sg.);der Versand;shipping, dispatch;відправка;Nach dem QA-Check erfolgt der Versand der Hardware an den Kunden.
der Vertrieb (Sg.);der Vertrieb;sales, distribution;відділ збуту;Unser Vertrieb nutzt ein CRM-System zur Verwaltung der Kundenkontakte.
der Zwischenhändler, -;der Zwischenhändler;middleman, reseller;посередник;Händler kaufen die Laptops oft bei einem spezialisierten IT-Zwischenhändler.
etw. analysieren;analysieren;to analyze;аналізувати;Wir müssen den Netzwerk-Traffic analysieren, um das Problem zu finden.
etw. bearbeiten (bearbeitet, bearbeitete, hat bearbeitet);bearbeiten;to process, to edit;обробляти;Ich muss den Pull-Request meines Kollegen heute noch bearbeiten.
jdn./etw. befördern (befördert, beförderte, hat befördert);jdn.;to promote, to transport;підвищувати (на посаді), перевозити;Er wurde zum Leiter der Softwareentwicklung befördert.
jdn./etw. betreuen (betreut, betreute, hat betreut);jdn.;to support, to manage;обслуговувати, супроводжувати;Unser Support-Team betreut Kunden bei technischen Problemen mit der App.
die Branche, -n;die Branche;industry, sector;галузь;In der Tech-Branche ist lebenslanges Lernen absolut notwendig.
etw. entwickeln;entwickeln;to develop;розробляти;Wir entwickeln eine innovative Lösung zur automatischen Code-Generierung.
die Gastronomie (Sg.);die Gastronomie;gastronomy, catering;гастрономія;Die Gastronomie nutzt immer häufiger digitale Kassensysteme mit Cloud-Anbindung.
etw. gestalten (gestaltet, gestaltete, hat gestaltet);gestalten;to design, to shape;оформляти, організовувати;Ein UX-Designer hilft uns dabei, die Website benutzerfreundlich zu gestalten.
das Handwerk (Sg.);das Handwerk;craft, trade;ремесло;Gutes Software-Engineering wird oft als modernes digitales Handwerk bezeichnet.
die IT-Branche (Sg.);die IT-Branche;IT industry;ІТ-галузь;Die IT-Branche ist einer der wichtigsten Arbeitgeber in Deutschland.
etw. konstruieren (konstruiert, konstruierte, hat konstruiert);konstruieren;to construct, to design;конструювати;Wir konstruieren ein neues Gehäuse for unsere IoT-Geräte.
etw. kontrollieren (kontrolliert, kontrollierte, hat kontrolliert);kontrollieren;to control, to check;контролювати;Der Administrator muss die Zugriffsrechte der Benutzer regelmäßig kontrollieren.
Kunden bedienen (bedient, bediente, hat bedient);Kunden bedienen;to serve customers;обслуговувати клієнтів;Unsere Web-Server bedienen gleichzeitig Tausende von Anfragen pro Sekunde.
der Kundenberater, - / die Kundenberaterin, -nen;der Kundenberater;customer advisor;консультант/-ка клієнтів;Der technische Kundenberater erklärt die Vorteile unserer API.
das Labor, -e;das Labor;laboratory;лабораторія;Im Hardware-Labor werden neue Prozessoren unter Extrembedingungen getestet.
der Lagerist, -en / die Lageristin, -nen;der Lagerist;warehouse clerk;працівник/-ця складу;Der Lagerist nutzt einen Handscanner, der direkt mit der Datenbank verbunden ist.
der Tierpfleger, - / die Tierpflegerin, -nen;der Tierpfleger;animal keeper;доглядач/-ка за тваринами;Der Tierpfleger nutzt ein Tablet, um die Gesundheitsdaten der Tiere zu erfassen.
Transport und Logistik (Sg.);Transport und Logistik;transport and logistics;транспорт і логістика;In den Bereichen Transport und Logistik spielt die Routenoptimierung durch KI eine große Rolle.
der Vertriebsweg, -e;der Vertriebsweg;distribution channel;канал збуту;Der direkte Download über unsere Website ist unser effektivster Vertriebsweg.
Waren bestellen (bestellt, bestellte, hat bestellt);Waren bestellen;to order goods;замовляти товари;Wir müssen neue RAM-Riegel for das Server-Upgrade bestellen.
Wissenschaft und Forschung (Sg.);Wissenschaft und Forschung;science and research;наука та дослідження;Viel Geld aus der Tech-Branche fließt in moderne Wissenschaft und Forschung.
etw. zu|bereiten (bereitet zu, bereitete zu, hat zubereitet);zu|bereiten;to prepare (food);готувати (їжу);Dank Smart-Home-Technik kann ich meinen Kaffee schon vom Computer aus zubereiten.
etw. zu|stellen (stellt zu, stellte zu, hat zugestellt);zu|stellen;to deliver, to serve;доставляти;Die E-Mail mit dem Bestätigungs-Code konnte leider nicht zugestellt werden.
die Bequemlichkeit, -en;die Bequemlichkeit;convenience;зручність;Viele Nutzer schätzen die Bequemlichkeit von Single-Sign-On-Verfahren.
der CO2-Ausstoß (Sg.);der CO2-Ausstoß;CO2 emission;викид CO2;Der CO2-Ausstoß von großen Rechenzentren ist ein wichtiges Thema in der Green-IT.
der Händler, - / die Händlerin, -nen;der Händler;dealer, vendor;торговець/-ка;Ein autorisierter Händler bietet speziellen Support für unsere Firmen-Laptops an.
die Lagerhalle, -n;die Lagerhalle;warehouse;складська будівля;In der neuen Lagerhalle werden die Server-Racks für den Versand vorbereitet.
die Online-Plattform, -en;die Online-Plattform;online platform;онлайн-платформа;Wir entwickeln eine neue Online-Plattform für das Projektmanagement.
der Sonderwunsch, "-e;der Sonderwunsch;special request;особливе побажання;Haben Sie bezüglich der Konfiguration Ihres neuen PCs noch einen Sonderwunsch?
etw. aktivieren (aktiviert, aktivierte, hat aktiviert);aktivieren;to activate;активувати;Nach der Installation müssen Sie das Plugin im WordPress-Backend noch aktivieren.
der Anbieter, - / die Anbieterin, -nen;der Anbieter;provider;провайдер/-ка;Welcher Anbieter hat aktuell die beste Performance für Cloud-Hosting?
etw. auf|laden (lädt auf, lud auf, hat aufgeladen);auf|laden;to top up, to charge;заряджати, поповнювати (рахунок);Ich muss den Akku meines Firmen-Laptops aufladen, bevor das Meeting beginnt.
sich beraten lassen (lässt sich beraten, ließ sich beraten, hat sich beraten lassen);sich beraten lassen;to get advice;отримати консультацію;Wir lassen uns von einem Experten bezüglich der DSGVO-Konformität unserer App beraten.
sich beschweren (beschwert sich, beschwerte sich, hat sich beschwert);sich beschweren;to complain;скаржитися;Der Nutzer hat sich im Support-Forum über die langsame Ladezeit der Webseite beschwert.
die Bestellung, -en;die Bestellung;order;замовлення;Wir haben eine Bestellung für drei neue Workstations beim IT-Händler aufgegeben.
das Datenvolumen, -;das Datenvolumen;data volume;обсяг даних;Durch die Bildkompression konnten wir das übertragene Datenvolumen deutlich reduzieren.
etw. ein|geben (gibt ein, gab ein, hat eingegeben);ein|geben;to enter (data);вводити (дані);Bitte geben Sie Ihren API-Key in das Konfigurationsfeld ein.
etw. ein|legen (legt ein, legte ein, hat eingelegt);ein|legen;to insert;вставляти;Um den Server zu booten, müssen Sie zuerst den bootfähigen USB-Stick einlegen.
einmalig;einmalig;one-time;одноразовий;Die Kosten für die Software-Lizenz fallen nur einmalig an.
der Einsteiger, - / die Einsteigerin, -nen;der Einsteiger;beginner;початківець/-иця;Diese Programmiersprache ist auch für Einsteiger ohne Vorkenntnisse leicht zu erlernen.
etw. entgegen|nehmen (nimmt entgegen, nahm entgegen, hat entgegengenommen);entgegen|nehmen;to receive, to accept;приймати;Der Webserver kann gleichzeitig Tausende von HTTP-Anfragen entgegennehmen.
das Festnetz (Sg.);das Festnetz;landline;стаціонарна мережа;In unserem Büro nutzen wir Voice-over-IP anstelle des klassischen Festnetzes.
etw. frei|schalten (schaltet frei, schaltete frei, hat freigeschaltet);frei|schalten;to unlock, to activate;активувати, розблокувати;Der Administrator kann deinen Zugang zum VPN-Server erst morgen freischalten.
die Grundgebühr, -en;die Grundgebühr;basic fee;абонентська плата;In der monatlichen Grundgebühr für unser CRM-System ist der E-Mail-Support bereits enthalten.
gültig;gültig;valid;дійсний;Das SSL-Zertifikat für unsere Domain ist nur noch zwei Wochen gültig.
günstig;günstig;cheap, favorable;вигідний, недешевий;Open-Source-Lösungen sind oft eine günstige Alternative zu teurer kommerzieller Software.
das Guthaben, -;das Guthaben;credit;баланс (грошовий);Ihr Guthaben für die Cloud-Ressourcen reicht noch für etwa drei Monate.
der Handwerker, - / die Handwerkerin, -nen;der Handwerker;craftsman;майстер/-иня;In der Softwareentwicklung spricht man oft von "Software-Craftsmanship", ähnlich wie bei klassischen Handwerkern.
inklusive;inklusive;inclusive;включно;Das neue Update ist inklusive aller Sicherheits-Patches ab sofort verfügbar.
die Kontrolle, -n;die Kontrolle;control;контроль;Die Versionskontrolle mit Git ist für professionelle Softwareentwicklung unerlässlich.
der Lieferservice, -s;der Lieferservice;delivery service;служба доставки;Wir entwickeln eine API für einen internationalen Lieferservice.
das Netz, -e;das Netz;network;мережа;In unserem internen Netz sind alle Datenbanken durch eine dedizierte Firewall geschützt.
optimal;optimal;optimal;оптимальний;Diese Datenbank-Struktur ist optimal für schnelle Lesezugriffe geeignet.
profitieren von (+ Dat.) (profitiert, profitierte, hat profitiert);profitieren von;to profit from;отримувати вигоду;Unsere Anwendung profitiert stark von den neuen Funktionen des Frameworks.
etw. sperren (sperrt, sperrte, hat gesperrt);sperren;to block, to lock;блокувати;Nach drei falschen Passworteingaben wird das Benutzerkonto automatisch für eine Stunde gesperrt.
der Tarif, -e;der Tarif;tariff;тариф;Wir haben uns für den Enterprise-Tarif entschieden, um Zugriff auf alle Features zu erhalten.
etw. verschicken (verschickt, verschickte, hat verschickt);verschicken;to send;відправляти;Das System kann automatisch Benachrichtigungen per Webhook verschicken.
der Vertrag, "-e;der Vertrag;contract;контракт, договір;Wir haben einen Wartungsvertrag mit dem Server-Anbieter abgeschlossen.
die Vertragslaufzeit, -en;die Vertragslaufzeit;contract duration;термін дії договору;Die Vertragslaufzeit für unsere Cloud-Infrastruktur beträgt mindestens zwölf Monate.
etw. zu|stellen (stellt zu, stellte zu, hat zugestellt);zu|stellen;to deliver;доставляти;Die Push-Benachrichtigung konnte nicht an das Mobilgerät zugestellt werden.
das Angebot, -e;das Angebot;offer;пропозиція;Das Angebot für das Redesign unserer Website war sehr überzeugend.
der Auftrag, "-e;der Auftrag;order, assignment;замовлення, доручення;Unser Team hat den Auftrag erhalten, eine neue E-Commerce-Plattform zu bauen.
der Ausdruck, -e;der Ausdruck;printout;роздруківка;Ich benötige einen Ausdruck der API-Dokumentation für das Meeting.
sich binden an (+ Akk.) (bindet sich, band sich, hat sich gebunden);sich binden an;to commit oneself to;зв'язувати себе зобов'язаннями;Durch den Lizenzvertrag binden wir uns langfristig an diesen Software-Anbieter.
brutto;brutto;gross;брутто (без вирахування податків);Das Bruttogehalt für diese Senior-Entwickler-Stelle ist sehr attraktiv.
einverstanden;einverstanden;agreed;згодний;Ich bin mit den vorgeschlagenen Änderungen am Code einverstanden.
etw. empfehlen (empfiehlt, empfahl, hat empfohlen);empfehlen;to recommend;рекомендувати;Können Sie eine gute Bibliothek für die Einbindung von Diagrammen empfehlen?
die Erledigung, -en;die Erledigung;completion;виконання;Vielen Dank für die schnelle Erledigung des Bug-Reports.
etw. erteilen (z.B. einen Auftrag) (erteilt, erteilte, hat erteilt);erteilen;to grant, to give;надавати, видавати (доручення);Die Geschäftsführung wird heute die Freigabe for das Projekt erteilen.
der Grund, "-e;der Grund;reason;причина;Der Grund für den Systemausfall war eine Fehlkonfiguration des Load-Balancers.
die Mehrwertsteuer (Sg.);die Mehrwertsteuer;value added tax (VAT);ПДВ (податок на додану вартість);Die Cloud-Gebühren werden monatlich zuzüglich der gesetzlichen Mehrwertsteuer abgerechnet.
netto;netto;net;нетто (після податків);In der Preisliste sind alle Beträge als Netto-Preise angegeben.
sorgfältig;sorgfältig;carefully;ретельно;Bitte prüfen Sie den Code sorgfältig auf mögliche Sicherheitslücken.
die Summe, -n;die Summe;sum, total;сума;Die Gesamtsumme der Lizenzen übersteigt leider unser geplantes Budget.
